# tombstone_reason_codes.tsv
#
# The curation table behind data/web/tombstones.json. One row per withdrawn
# identifier in data/_quarantine.json.
#
#   id             the withdrawn medium id
#   reason_code    the published class-level code (tools/web_payload.py
#                  TOMBSTONE_REASON_CODES is the vocabulary; a code here that
#                  is not in that list fails the payload build)
#   source_reason  the workflow string the quarantine ledger carries
#   note           the reviewer's full prose, preserved verbatim, newlines as
#                  \n and tabs as spaces. INTERNAL. It is never projected into
#                  data/web/tombstones.json or onto any page.
#   evidence       the excerpt from the cited source the reviewer worked from,
#                  same escaping. INTERNAL, same rule.
#
id	reason_code	source_reason	note	evidence
complexlit_PMC8163811_bicarbonate_buffered_mineral_salt_medium_lac	no_composition_recorded	promises vitamins, none present; promises minerals, none present; fewer than 3 real components		
lit_PMC7949252_anaerobic_human_gut_microbial_community_	no_composition_recorded	promises amino acids, none present; promises minerals, none present		
complexlit_PMC10466089_nms2_nitrate_mineral_salts_medium_10_ml_1m_c	composition_not_stated	workflow:not_found	The paper does NOT describe the composition of NMS2 medium. It names it and defers the formulation entirely to cited reference 20; the only medium-specific detail given in the paper text is that 10 mL of 1 M carbonate buffer was added per liter. NMS2 (a nitrate mineral salts medium for the aerobic gammaproteobacterial methanotroph M. buryatense) IS a real, well-established growth medium in the methanotroph literature (Puri/Kalyuzhnaya lineage: contains nitrate N-source, phosphate buffer, MgSO4, CaCl2, Fe-EDTA, trace elements, NaCl/NaHCO3 for the alkaliphile), but none of that composition is present or reconstructable from THIS paper, so it cannot be verified or corrected against the source. The auto-extracted record is broken: it reduced the whole medium to O2 plus an unresolved 'carbonate buffer (1M)', with fewer than 3 real components and no minerals despite the name — not a usable formulation. Organism is an obligate aerobic methanotroph, so oxygen = aerobic. Recommend not publishing a formulation from this paper; source NMS2 from its primary reference instead.	Methylotuvimicrobium buryatense 5GB1C and Methylotuvimicrobium alcaliphilum 20Z(R) were grown in NMS2 medium (20). ... Per liter of NMS2 medium, 10 mL 1M carbonate buffer was added.
complexlit_PMC10356861_sulfate_free_artificial_seawater_sfasw_or_0_	not_a_defined_medium	workflow:rejected	REJECTED as a microbial growth medium. This entry describes seawater (sulfate-free artificial seawater SFASW, or 0.2 um-filtered natural seawater FSW) used to incubate WHOLE LIVE SPONGE EXPLANTS of Ianthella basta for holobiont physiology experiments (nitrification / taurine dissimilation / sulfate production). No prokaryote is cultured in isolation; the organism of interest, 'Taurinisymbion ianthellae', is an uncultivated symbiont. Taurine is a substrate/13C15N-tracer amendment (1.6 mM total), not a growth-medium carbon source. Additionally, the true SFASW (sulfate-free) composition is given only in the Supplementary Note, which is NOT present in the available full-text XML, so it cannot be reconstructed. The only seawater recipe in the main text (per L: 26.4 g NaCl, 6.8 g MgSO4*7H2O, 5.7 g MgCl2*6H2O, 1.47 g CaCl2*2H2O, 0.66 g KCl, 0.2 g KH2PO4, 0.19 g NaHCO3) is a SULFATE-CONTAINING artificial seawater used to dilute taurine standards, i.e. explicitly NOT the sulfate-free SFASW named in this entry. The stored formulation (only O2 + 'taurine amendment', flagged 'fewer than 3 real components') is a substrate list, not a medium. Recommend removing this record from the public growth-media DB.	Live sponge explants were transferred to sulfate-free artificial seawater (SFASW; see Supplementary Note for media details) and rinsed three times to remove as much sulfate from seawater as possible. For all incubation experiments, [I. basta explants were incubated in] filtered seawater (FSW) or SFASW, and with or without taurine added at different time points and concentrations.
complexlit_PMC10134865_anaerobic_bicarbonate_buffered_mineral_mediu	composition_not_stated	workflow:rejected	This paper does NOT define a mineral-medium formulation. The anaerobic bicarbonate-buffered mineral medium is cited to reference 23 ('as described previously'), not composed here. The text contains zero mineral salts, buffers-by-name, vitamins, or trace elements (grep for NaCl/KCl/NH4Cl/MgSO4/MgCl2/CaCl2/KH2PO4/Na2HPO4/FeCl/B12/yeast extract/selenite/tungstate all = 0). The only medium-related quantities given are substrate/redox additions: H2 headspace (~5-7 ×10^4 Pa), HCO3- (40-60 mM, buffer + C source for the acetogen), isoprene (1 mM, terminal electron acceptor), and titanium citrate (1 mM, reductant). The auto-extracted entry is therefore a substrate/electron-donor-acceptor list mislabelled as a defined mineral medium; it cannot be corrected to a full formulation from THIS paper because the composition is not present. Organism (Acetobacterium wieringae, homoacetogen using isoprene as anaerobic electron acceptor) and conditions (N2 flushing, titanium-citrate reductant, anaerobic chamber) are unambiguously anaerobic. Recommend rejecting this record or sourcing the true composition from primary reference 23 (the enrichment-culture cultivation paper).	Isoprene-reducing biomass was grown on H2/HCO3-/±isoprene, as described previously (23). ... Cells were washed in minimal medium containing 1 mM titanium citrate (23) ... H2 (7 × 10^4 Pa), HCO3- (60 mM), and isoprene (1 mM) were added, and cells were incubated at 30°C.
complexlit_PMC10499878_defined_artificial_seawater_esaw_modified_wi	extraction_artifact	workflow:rejected	REJECTED as a defined growth medium. The entry name ('Defined artificial seawater (ESAW, modified) with P. tricornutum exudates + 13C/15N-labeled algal DOM') conflates three unrelated things and none of them constitute a chemically-defined, GEM-mappable formulation: (1) The actual co-culture medium was NOT ESAW but F/2 made with Instant Ocean sea salts (35 g/L) + 880 µM nitrate — a proprietary, complex, chemically-undefined marine sea-salt mixture. (2) ESAW is named only once, for a separate low-nutrient 13C-bicarbonate anaplerotic experiment, and the paper gives NO ESAW composition (no salt/vitamin/trace-metal recipe), so it cannot be corrected to a full defined list. (3) The '13C/15N-labeled algal DOM' is a solid-phase-extracted isotope TRACER (labeled P. tricornutum spent-medium organic matter) added for nanoSIMS, and 'P. tricornutum exudates/spent medium' is undefined complex organic matter — neither is a defined medium ingredient. The current 3-component skeleton (O2 + nitrate + phosphate) is an auto-extraction artifact, not the paper's formulation. Oxygen: aerobic (oxic marine surface-water diatom-heterotroph co-cultures under a 14/10 h light regime; the ESAW+bicarbonate experiment is likewise aerobic). Recommend removing this record or reclassifying it as a complex/undefined marine medium (Instant Ocean F/2), not a defined seawater medium.	The seawater (F/2) medium was prepared using Instant Ocean salts (35 g/L) with 880 µM nitrate ... we tested the anapleurotic activity ... by incubating the strains in autotrophic medium (artificial seawater ESAW) with no added carbon plus 13C-labeled bicarbonate (1.5 mM added) for one week.
complexlit_PMC10579422_undiluted_reactor_culture_rp1_in_anaerobic_s	not_a_defined_medium	workflow:rejected	This is NOT a defined/formulated growth medium. It is an undiluted, undefined enrichment reactor culture (a live thermophilic high-ammonia syntrophic microbial community plus residual BM feed) transferred into a serum bottle and spiked with sodium propionate for a batch kinetics assay (B01-B12). It is an experimental incubation setup mislabelled as a medium (the auto-extract itself flagged 'complex/undefined base', n_components=1). Reject. If a defined medium is wanted, the underlying feed medium is captured by the sibling record (bicarbonate-buffered BM + NH4Cl + sodium propionate). The current record's aerobic assumption is also wrong - this is strictly anaerobic (52 C, N2-flushed, syntrophic biogas community).	anaerobic batch assays were prepared by transferring 0.5 L of the enrichment culture from the continuously propionate- and acetate-fed reactors after 630 days of operation directly to sterile anaerobic serum bottles (1 L) under constant N2 flushing ... sodium propionate or sodium acetate was added to the batch culture, with the intention to reach a final concentration of 30 mM
complexlit_PMC11344931_freshwater_lake_sediment_microcosm_lianhuach	not_a_defined_medium	workflow:rejected	This is NOT a defined (or even semi-defined) growth medium. The target organism, 'Candidatus Magnetobacterium' sp. LHC-1 (a Nitrospirota magnetotactic bacterium), is UNCULTURED — the paper states cultivation of Nitrospirota MTB has never been achieved. What is described is a natural freshwater lake-sediment microcosm (native Lianhuachi Lake sediment + lake water, chemically undefined) held in the dark for recovery, then spiked with stable-isotope tracers (Na15NO3, NaH13CO3) purely for NanoSIMS single-cell isotope-uptake measurement. Cells were magnetically enriched directly from sediment and analyzed in situ; they were never grown in any formulated medium. There is no reproducible component formulation to curate: the bulk is an undefined environmental matrix (sediment slurry, pH 7.1, salinity 0.52 ppt). The auto-extraction correctly flagged 'fewer than 3 real components' and 'complex/undefined base — extracts not BiGG-mappable'. This should be removed from a growth-media database. Oxygen: MTB of this type inhabit the oxic-anoxic transition zone (microaerophilic); the sediment microcosm has an O2 gradient and the organism performs nitrate reduction and CO2 fixation, so 'facultative' best reflects the undefined gradient environment (closest schema option to microaerophilic).	Each of the 15 subsamples contained about 17 mL of sediment and 8 mL of lake water... Then, the isotopes incubation started by adding 112.5 μL of 1-M Na15NO3 (98 atom% 15N, Sigma-Aldrich) and 50 μL of 1-M NaH13CO3 (98 atom% 13C, Sigma-Aldrich) into each subsample.
complexlit_PMC11097648_k3_defined_minimal_medium_with_glucose	composition_not_stated	workflow:not_found	This paper (mSystems, E. coli trpC/tyrA auxotroph cross-feeding consortium) NAMES the medium as 'K3 defined minimal medium' but delegates its full composition to citation (5) and does NOT enumerate any salts, N source, phosphate, buffer, vitamins, or trace elements anywhere in the text (0 hits for Na2HPO4/KH2PO4/NH4Cl/MgSO4/CaCl2/phosphate/ammonium/thiamine/vitamin/FeCl/EDTA). Only the carbon source (glucose, 4.5 g/L batch) and a selection antibiotic (kanamycin, 33 µg/L — not a nutrient) are specified in-paper. 'K3' is not a standard named base (unlike M9/LB/MOPS), so the mineral composition cannot be reconstructed without inventing it. The current DB record (glucose + O2 only) is chemically incomplete for a minimal medium and should NOT be published as a K3 formulation. Recommend retrieving the recipe from the cited source before including. Culture was aerobic shake-flask (37°C, 225 rpm); E. coli is facultative but grown aerobically here.	The washed cells were resuspended and transferred to 150 mL flasks carrying 25 mL of K3 defined minimal medium (5) containing glucose and 33 µg/L kanamycin and cultivated at 37°C and 225 rpm ... For batch mode, 4.5 g/L glucose was supplied in the culture medium.
complexlit_PMC11193817_semi_synthetic_media_simulating_sugarcane_mo	composition_not_stated	workflow:not_found	PMC11193817 (Nat Commun 2024, de Oliveira Lino et al.) does NOT provide the formulation of this medium. It only NAMES and USES a 'semi-synthetic medium simulating sugarcane molasses (SM)' and cites its recipe to reference 26 = Lino FS, Basso TO, Sommer MOA, 'A synthetic medium to simulate sugarcane molasses', Biotechnol. Biofuels 2018, 11, 221 (doi:10.1186/s13068-018-1221-x). The full composition (salts, N source, vitamins, trace elements, organic acids such as aconitate) is deferred to that reference and to this paper's Supplementary Tables 4-5, neither of which is present in the fetched fulltext XML. The ONLY composition detail this article itself states is the carbohydrate working concentration: total sugar 18 g/L composed of sucrose, glucose and fructose (a 10x dilution of the SM stock). SM is a real, chemically semi-defined medium, so this is not a hallucination or a mislabelled substrate list (not 'rejected'); however its formulation cannot be established or verified from THIS paper (hence 'not_found'). RECOMMENDATION for the database: re-source the full SM recipe from Lino et al. 2018 Biotechnol Biofuels (ref 26) plus PMC11193817 Supplementary Tables 4-5 before publishing a composition; do not publish the current near-empty record as a verified formulation. Oxygen: cultivations of lactic acid bacteria (Limosilactobacillus fermentum etc.) and S. cerevisiae PE-2 were done statically overnight (low-O2), and growth-rate assays under mild agitation; the LAB involved are aerotolerant/facultative, so oxygen is best labelled facultative rather than strictly aerobic or anaerobic.	The media used is a semi-synthetic media, able to simulate sugarcane molasses based media (SM)26. ... cells were diluted in SM diluted in sterile Milli-Q H2O (10x, final sugar concentration of 18 g/L). ... The media composition utilized in the microplate experiments can be found in the Supplementary Tables 4 and 5.
