component_name	current_bigg	refusal_kind	reason	n_components
Fluoride, F	f	no_match	no candidate matched the source name in any lane	465
Magnesium (from MgSO4)	mg2	no_match	no candidate matched the source name in any lane	24
Ammonium (from NH4Cl)	nh4	no_match	no candidate matched the source name in any lane	22
Calcium (from CaCl2)	ca2	no_match	no candidate matched the source name in any lane	20
Ammonium (NH4Cl)	nh4	no_match	no candidate matched the source name in any lane	18
Potassium (from KH2PO4)	k	no_match	no candidate matched the source name in any lane	17
Potassium (from K2HPO4)	k	no_match	no candidate matched the source name in any lane	15
Magnesium (from MgSO4.7H2O)	mg2	no_match	no candidate matched the source name in any lane	11
Ammonium (NH4+, from NH4Cl)	nh4	no_match	no candidate matched the source name in any lane	8
Magnesium (from MgSO4·7H2O)	mg2	no_match	no candidate matched the source name in any lane	7
Zinc (from ZnSO4.7H2O)	zn2	no_match	no candidate matched the source name in any lane	7
Calcium (CaCl2)	ca2	no_match	no candidate matched the source name in any lane	6
Calcium (from CaCl2.2H2O)	ca2	no_match	no candidate matched the source name in any lane	6
Calcium (from CaCl2·2H2O)	ca2	no_match	no candidate matched the source name in any lane	6
Zinc(II)	zn2	no_match	no candidate matched the source name in any lane	6
Potassium (from K2HPO4 + KH2PO4)	k	no_match	no candidate matched the source name in any lane	6
Calcium (CaCl2*2H2O)	ca2	no_match	no candidate matched the source name in any lane	6
Magnesium (MgSO4*7H2O)	mg2	no_match	no candidate matched the source name in any lane	6
Zinc (ZnSO4*7H2O)	zn2	no_match	no candidate matched the source name in any lane	6
Na2WO4·2H2O (sodium tungstate)	tungs	no_match	no candidate matched the source name in any lane	5
Magnesium (MgSO4)	mg2	no_match	no candidate matched the source name in any lane	5
Magnesium (from MgCl2.6H2O)	mg2	no_match	no candidate matched the source name in any lane	5
N2/CO2 gas phase	n2	no_match	no candidate matched the source name in any lane	4
Zinc (from ZnSO4·7H2O)	zn2	no_match	no candidate matched the source name in any lane	4
Magnesium (Mg2+, from MgSO4·7H2O)	mg2	no_match	no candidate matched the source name in any lane	4
Calcium (Ca2+, from CaCl2)	ca2	no_match	no candidate matched the source name in any lane	4
Na2WO4*2H2O (sodium tungstate)	tungs	no_match	no candidate matched the source name in any lane	4
Sodium (NaCl)	na1	no_match	no candidate matched the source name in any lane	3
Carbon dioxide / bicarbonate (photoautotrophic inorganic carbon)	co2	no_match	no candidate matched the source name in any lane	3
sulfate/sulfur	so4	no_match	no candidate matched the source name in any lane	3
Sodium (from Na2HPO4 + NaCl)	na1	no_match	no candidate matched the source name in any lane	3
H2O, H+	h2o	no_match	no candidate matched the source name in any lane	3
Potassium (from K2HPO4/KH2PO4)	k	no_match	no candidate matched the source name in any lane	3
Zinc (trace element solution)	zn2	no_match	no candidate matched the source name in any lane	3
Potassium (K+, from KH2PO4)	k	no_match	no candidate matched the source name in any lane	3
Potassium (K+, from KH2PO4 + KOH to pH 7.4)	k	no_match	no candidate matched the source name in any lane	3
Magnesium (from MgCl2)	mg2	no_match	no candidate matched the source name in any lane	3
Magnesium (Mg2+, from MgSO4)	mg2	no_match	no candidate matched the source name in any lane	3
Calcium (from CaCl2.2H2O, trace-element soln 2 ml/l)	ca2	no_match	no candidate matched the source name in any lane	3
Sodium (from NaCl + Na2S2O3)	na1	no_match	no candidate matched the source name in any lane	3
Sodium (from NaCl + Na2HPO4.2H2O)	na1	no_match	no candidate matched the source name in any lane	3
Zinc (ZnSO4)	zn2	no_match	no candidate matched the source name in any lane	3
Zinc (ZnSO4.7H2O)	zn2	no_match	no candidate matched the source name in any lane	3
Sodium DL-lactate (lac__L)	lac__D	racemate	source declares DL (racemate); alias target lac__L is a single enantiomer	3
Zinc (Zn2+, from ZnSO4·7H2O)	zn2	no_match	no candidate matched the source name in any lane	3
Potassium (KH2PO4)	k	no_match	no candidate matched the source name in any lane	2
ammonium (NH4+ salt)	nh4	no_match	no candidate matched the source name in any lane	2
sodium DL-lactate	lac__D	racemate	source declares DL (racemate); alias target lac__L is a single enantiomer	2
Potassium (from KH2PO4 + KCl)	k	no_match	no candidate matched the source name in any lane	2
Zinc (from ZnCl2)	zn2	no_match	no candidate matched the source name in any lane	2
N2/CO2 headspace gas (80:20 v/v)	n2	no_match	no candidate matched the source name in any lane	2
FeSO4 chelated with EDTA (ferrous iron)	fe	no_match	no candidate matched the source name in any lane	2
pectin / pectic acid (galacturonan - partly fermentable polysaccharide, no single BiGG met)	pectin	no_match	no candidate matched the source name in any lane	2
Starch, pregelatinized	starch	no_match	no candidate matched the source name in any lane	2
Zinc (Zn2+, from ZnSO4)	zn2	no_match	no candidate matched the source name in any lane	2
Potassium (from KH2PO4 buffer)	k	no_match	no candidate matched the source name in any lane	2
Sodium (from NaCl and Na2HPO4)	na1	no_match	no candidate matched the source name in any lane	2
Sodium (from NaCl)	na1	no_match	no candidate matched the source name in any lane	2
Ammonium (from ammonium sulfate)	nh4	no_match	no candidate matched the source name in any lane	2
NaWO4*2H2O (sodium tungstate)	tungs	no_match	no candidate matched the source name in any lane	2
Na2WO4 (sodium tungstate)	tungs	no_match	no candidate matched the source name in any lane	2
Ammonium (NH4Cl + ammonium ferric citrate)	nh4	no_match	no candidate matched the source name in any lane	2
Sodium DL-lactate	lac__D	racemate	source declares DL (racemate); alias target lac__L is a single enantiomer	2
Magnesium (Mg2+, from MgCl2)	mg2	no_match	no candidate matched the source name in any lane	2
Potassium (from KCl)	k	no_match	no candidate matched the source name in any lane	2
Magnesium (MgSO4.7H2O)	mg2	no_match	no candidate matched the source name in any lane	2
Sodium (from NaNO3 + NaOH + Na-DL-lactate)	na1	no_match	no candidate matched the source name in any lane	2
Sodium DL-lactate (lac__L / lac__D)	lac__D	racemate	source declares DL (racemate); alias target lac__L is a single enantiomer	2
Carbonate/bicarbonate (Na2CO3, provides CO2)	hco3	no_match	no candidate matched the source name in any lane	2
Sodium (from NaNO2 + NaH2PO4 + Na2CO3 + Na2MoO4)	na1	no_match	no candidate matched the source name in any lane	2
Acetic acid / acetate	ac	no_match	no candidate matched the source name in any lane	2
Formic acid / formate	for	no_match	no candidate matched the source name in any lane	2
Calcium (Ca2+, from CaCl2·2H2O)	ca2	no_match	no candidate matched the source name in any lane	2
Potassium (K+, from K2HPO4)	k	no_match	no candidate matched the source name in any lane	2
Sodium (Na+, from NaH2PO4·2H2O + Na2EDTA)	na1	no_match	no candidate matched the source name in any lane	2
Sodium (from Na2SO4.10H2O and Na2MoO4.2H2O)	na1	no_match	no candidate matched the source name in any lane	2
Bicarbonate / CO2 (NaHCO3)	hco3	no_match	no candidate matched the source name in any lane	2
Magnesium (from MgSO4*7H2O)	mg2	no_match	no candidate matched the source name in any lane	2
Sodium (from Na2MoO4 + Zn acetate)	na1	no_match	no candidate matched the source name in any lane	2
Magnesium (MgCl2)	mg2	no_match	no candidate matched the source name in any lane	2
Folate, food	fol	no_match	no candidate matched the source name in any lane	2
Folate, DFE	fol	no_match	no candidate matched the source name in any lane	2
cis-Lutein/Zeaxanthin	zeax	no_match	no candidate matched the source name in any lane	2
NiCl2 (Ni)	ni2	chemically_ambiguous	case-folded name key is chemically ambiguous: Ni (nickel) vs NI	1
Bicarbonate/CO2 buffer (NaHCO3, anoxic headspace)	hco3	no_match	no candidate matched the source name in any lane	1
MCLMAN inorganic salt / iron / trace-element base	fe	no_match	no candidate matched the source name in any lane	1
nicotinic acid / nicotinamide	nac	no_match	no candidate matched the source name in any lane	1
Tartrate	tartr__D	stereo_conflict	source declares no stereochemistry but every candidate is a single enantiomer: tartr__D,tartr__L	1
Ammonium (NH4Cl / NH3-NH4+)	nh4	no_match	no candidate matched the source name in any lane	1
Na2MoO4 / molybdate	mobd	no_match	no candidate matched the source name in any lane	1
Ammonium (NH4+, as NH4Cl)	nh4	no_match	no candidate matched the source name in any lane	1
Distilled/deionized water	h2o	no_match	no candidate matched the source name in any lane	1
Oleic acid / oleate	ocdcea	no_match	no candidate matched the source name in any lane	1
carbon dioxide / dinitrogen gas phase	co2	no_match	no candidate matched the source name in any lane	1
carbon dioxide / bicarbonate (CO2 from N2:CO2 90:10 headspace)	co2	no_match	no candidate matched the source name in any lane	1
Na3-citrate (trisodium citrate)	cit	no_match	no candidate matched the source name in any lane	1
Citric acid / citrate	cit	no_match	no candidate matched the source name in any lane	1
Sodium (from Na2S2O3.5H2O)	na1	no_match	no candidate matched the source name in any lane	1
Ammonium (ammonium hydroxide 25%)	nh4	no_match	no candidate matched the source name in any lane	1
Sodium (from Na-L-glutamate + NaCl)	na1	no_match	no candidate matched the source name in any lane	1
Caffeic acid, trans-Sinapic acid, ferulate, gallic acid, vanillate - phenolic acids	fer	no_match	no candidate matched the source name in any lane	1
raffinose/fructans	raffin	no_match	no candidate matched the source name in any lane	1
ferulic acid / caffeic acid / p-coumaric acid / sinapic acid / syringic acid (hydroxycinnamates)	fer	no_match	no candidate matched the source name in any lane	1
putrescine / spermidine / spermine (polyamines; genuine in oat, no BiGG growth role)	ptrc	no_match	no candidate matched the source name in any lane	1
glycine betaine, choline (osmolytes; choline quantified above)	glyb	no_match	no candidate matched the source name in any lane	1
glycine betaine, choline (osmolytes, genuine)	glyb	no_match	no candidate matched the source name in any lane	1
pyridoxine / vitamin B6	pydxn	no_match	no candidate matched the source name in any lane	1
caffeic acid, ferulic acid, p-coumaric acid, cinnamic acid — hydroxycinnamates	fer	no_match	no candidate matched the source name in any lane	1
quercetin, myricetin, catechins/epigallocatechin — flavonoid phytochemicals	quc	no_match	no candidate matched the source name in any lane	1
caffeic acid, p-coumaric acid, ferulic acid, cinnamic acid (hydroxycinnamates)	fer	no_match	no candidate matched the source name in any lane	1
quercetin, myricetin, catechin/epigallocatechin, genistein, isoflavones (flavonoids)	quc	no_match	no candidate matched the source name in any lane	1
Catechol / 3-methylcatechol / 4-methylcatechol / phenol / guaiacol / 4-vinylguaiacol / pyrogallol (mostly roast-derived phenolics)	catechol	no_match	no candidate matched the source name in any lane	1
nitrate/ammonium	no3	no_match	no candidate matched the source name in any lane	1
kaempferol, quercetin, alpha-catechin - genuine flavonoids	quc	no_match	no candidate matched the source name in any lane	1
syringic / sinapic / ferulic / gallic / vanillic / 4-hydroxybenzoic acids - genuine phenolic acids	fer	no_match	no candidate matched the source name in any lane	1
retinol/vitamin A	retinol	no_match	no candidate matched the source name in any lane	1
caffeic acid, p-coumaroylquinic acids, o-coumaric acid, ferulic acid, syringic acid, gallic acid	fer	no_match	no candidate matched the source name in any lane	1
Chlorophyll a'	chlaemr	chemically_ambiguous	chemically distinct candidates share one name key: chlaemr,cholphya	1
gadoleic/gondoic acid	M01235	no_match	no candidate matched the source name in any lane	1
Vanillate/Vanillin	vanlt	no_match	no candidate matched the source name in any lane	1
