# MediaDB family (naming) vocabulary  -- versioned input, NOT generated at run time
# ---------------------------------------------------------------------------
# THIS IS THE NAMING REGISTRY. It is deliberately SEPARATE from the COMPOSITION
# registry in tools/base_media.py (BASES) and from the canonical formulations in
# tools/curate_wellknown_media.py (REGISTRY). Assigning a family here must NEVER
# cause any component to be injected into a medium. Composition rewriting and
# family labelling are different operations; conflating them is what let a
# hamburger inherit LB's yeast-extract decomposition (finding NM-01).
#
# Seeded from tools/curate_wellknown_media.py REGISTRY (262 entries, each with its
# own formulation citation) plus the families named in the 2026-09 audit that the
# registry lacked (ISP-1..5, CGXII, YCFA, marine 2216, RPMI, DMEM, Widdel, Davis,
# SOB/SOC, LBv2).
#
# Columns
#   family_id       stable snake_case key. Never rendered; used for grouping.
#   display_label   human label shown in the browser.
#   name_regex      matched against the CLEANED MEDIUM NAME ONLY. Never against
#                   `description` - 701 food descriptions say "plus a standard M9
#                   mineral base" and 0 food names say M9 (NM-01 verification (6)).
#   alias_of        this family is the SAME medium as the named family; collapse into it.
#   parent_family   this family is a REFINEMENT of the named family (LBv2 of LB,
#                   BG-11_0 of BG-11); the child wins and the parent is recorded.
#   reference_id    id of the canonical std_* record whose composition is used to
#                   corroborate a name match. Empty = no reference available, so
#                   the family stays method='name_only' and is never promoted.
#
# A family match is a HYPOTHESIS. normalize_names.py promotes it to
# 'name_and_composition' only if the record's non-injected exchange set overlaps
# the reference composition; otherwise it stays 'name_only' and says so.
family_id	display_label	name_regex	reference_id	alias_of	parent_family
2xyt	2xYT (standard)	2\s*[x×]\s*yt	std_2xyt		
aia	Actinomycete Isolation Agar (standard)	actinomycete isolation agar|\bAIA\b	std_aia		
allenarnon	Allen & Arnon medium (standard)	allen.{0,3}arnon	std_allen_arnon		
allensulfolobus	Allen medium (standard, Sulfolobus)	allen (medium|salts) sulfolobus|sulfolobus allen	std_allen_sulfolobus		
amm	Aspergillus Minimal Medium (standard)	aspergillus minimal|\bAMM\b	std_amm		
anaerobebasal	Anaerobe Basal Agar (standard)	anaerobe basal|anaerobic basal agar	std_anaerobe_basal		
andrade	Andrade's peptone water (standard)	andrade'?s?	std_andrade		
apt	APT medium (standard)	\bAPT\b (agar|broth|medium)	std_apt		
apw	Alkaline Peptone Water (standard)	alkaline peptone water|\bAPW\b	std_alkaline_peptone_water		
ashby	Ashby's mannitol medium (standard)	ashby'?s? (mannitol )?(medium|agar)|ashby mannitol	std_ashby		
asniii	ASN-III medium (standard, marine cyanobacteria)	\bASN.?III\b	std_asn_iii		
av	AV agar (standard, actinomycetes)	\bAV\b agar|arginine.?vitamin agar	std_av_agar		
azidedextrose	Azide Dextrose broth (standard)	azide dextrose|rothe broth	std_azide_dextrose		
baars	Baar's medium (standard, SRB)	baar'?s? medium	std_baars		
bairdparker	Baird-Parker agar (standard)	baird.?parker	std_baird_parker		
balch	Balch medium (standard, methanogen)	balch medium|balch'?s?	std_balch		
bbe	Bacteroides Bile Esculin agar (standard)	bacteroides bile esculin|\bBBE\b	std_bbe		
bbm	Bold's Basal Medium (standard)	bold'?s? basal|\bBBM\b	std_bbm		
bcye	Buffered Charcoal Yeast Extract (standard)	\bBCYE\b|buffered charcoal|charcoal yeast	std_bcye		
bennett	Bennett's agar (standard)	bennett'?s? (agar|medium)	std_bennett		
bg11	BG-11 medium (standard, cyanobacteria)	BG-?11	std_bg11		
bg110	BG-11_0 medium (standard, diazotrophic cyanobacteria)	\bBG.?11.?0\b|\bBG11.?0\b|nitrogen.?free BG.?11	std_bg110		bg11
bglb	Brilliant Green Lactose Bile broth (standard)	brilliant green lactose bile|\bBGLB\b|\bBGBL\b	std_bglb		
bhi	Brain Heart Infusion (standard)	brain.?heart|\bBHIS?\b	std_bhi		
