medium_id	component_index	component_name	current_bigg	proposed_bigg	proposed_tier	mapper_note	why_not_applied
biospecimen_hmdb_cerebrospinal_fluid_csf	277	Propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
biospecimen_hmdb_cerebrospinal_fluid_csf	311	Arsenic	aso4	arsna	fuzzy_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
biospecimen_hmdb_feces	509	Propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
biospecimen_hmdb_feces	682	Dodecanoylcarnitine	M01729	ddeccrn	exact_name	target M01729 is absent from the BiGGr reactome; substituted ddeccrn, which carries the identical InChIKey FUJLYHJROOYKRA-QGZVFWFLSA-N	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
biospecimen_hmdb_saliva	309	Propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
biospecimen_hmdb_saliva	483	Arsenic	aso4	arsna	fuzzy_name	target aso4 is absent from the BiGGr reactome; substituted arsna, which carries the identical InChIKey DJHGAFSJWGLOIV-UHFFFAOYSA-L	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
biospecimen_hmdb_urine	571	Propionic acid	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC10811727_anoxic_mineral_medium_per_ref_16_with_nitrat	16	potassium bicarbonate	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC11406949_cdm1_chemically_defined_medium_1_glucose	38	pyridoxal / pyridoxamine (vitamin B6)	pydx	pydxn	fuzzy_name	resolved from the parenthetical qualifier 'vitamin B6', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC11543930_anoxic_tris_hcl_buffered_artificial_seawater	8	NaHCO3 (bicarbonate)	hco3	h2co3	exact_name	target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'bicarbonate', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC11608335_corncob_residue_hydrolysate_crh_medium	25	CO2 / carbonate (HCO3-)	hco3	h2co3	exact_name	bicarbonate; target hco3 is absent from the BiGGr reactome; substituted h2co3, which carries the identical InChIKey BVKZGUZCCUSVTD-UHFFFAOYSA-M; resolved from the parenthetical qualifier 'HCO3-', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC12218308_m9_minimal_medium_formate_rich_lignin_oxidat	23	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC13150008_ba4a_intermediate_groundwater_20_at_d2o_1_mm	19	Propionate	ppa	prpnte	fuzzy_name	target ppa is absent from the BiGGr reactome; substituted prpnte, which carries the identical InChIKey XBDQKXXYIPTUBI-UHFFFAOYSA-M	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC2784333_l_lactate_m9_minimal_medium_2_g_l_l_lactate	6	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC3514683_todd_hewitt_broth_supplemented_with_yeast_ex	16	Iron (Fe2+)	fe	fe2	fuzzy_name	resolved from the parenthetical qualifier 'Fe2+', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC4299604_mops_ez_rich_defined_medium_teknova_m2105_wi	9	Cytosine (cytidine)	csn	cytd	exact_name	resolved from the parenthetical qualifier 'cytidine', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC4299604_mops_ez_rich_defined_medium_teknova_m2105_wi	18	Guanine (guanosine)	gua	gsn	exact_name	resolved from the parenthetical qualifier 'guanosine', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
complexlit_PMC4299604_mops_ez_rich_defined_medium_teknova_m2105_wi	40	Uracil (uridine)	ura	uri	exact_name	resolved from the parenthetical qualifier 'uridine', which is more specific than the head term	re-derivation proposes a different compound, not a different enantiomer; needs a curator decision
