# tools/curation/metabolite_corrections.tsv
#
# Reviewed metabolite-identity corrections for MediaDB. This file is the ONLY
# place a component may be given evidence_tier "curated_mapping": a row here
# records a human decision together with the chemistry that justifies it, so a
# rebuild reproduces the correction instead of a curator re-patching data.
#
# Consumed by: tools/stages/remap_components.py
# Every row must carry a non-empty `chemistry` justification or the stage aborts.
#
# COLUMNS
#   correction_id       stable id, cited in the change ledger
#   applies_to_method   regex over the component's mapping_method; '*' = any
#   match_field         component_name_regex | component_name_exact | bigg_id
#   match_value         value for match_field. Regexes are CASE-SENSITIVE, because
#                       case is load-bearing chemistry here (CO2 vs Co2+).
#   current_bigg        only match components currently on this BiGG id ('' = any)
#   action              retarget | retier | unmap | mark_mixture
#   target_bigg         new BiGG id (retarget only)
#   evidence_tier       tier to record on the corrected component
#   proxy_for           pipe-separated ids the target stands in for (class/aggregate)
#   source_name         true source string to restore when the pipeline destroyed it
#   chemistry           REQUIRED. why this is right, in chemical terms
#   reference           where the chemistry comes from
#   flux_consequential  yes|no  -- does this change what a model can take up
#   breaking_id_change  yes|no  -- does an exchange id visible to users change
#   decided_by          who decided
#   decided_on          ISO date
correction_id	applies_to_method	match_field	match_value	current_bigg	action	target_bigg	evidence_tier	proxy_for	source_name	chemistry	reference	flux_consequential	breaking_id_change	decided_by	decided_on
CHEM-CO2-01	*	component_name_regex	CO2|CO₂|arbon dioxide|arbonate	cobalt2	retarget	co2	curated_mapping			Carbon dioxide is CO2 (formula CO2, InChIKey CURLTUGMZLYLDI-UHFFFAOYSA-N). cobalt2 is the cobalt(II) cation (formula Co, InChIKey XLJKHNWPARRRJB-UHFFFAOYSA-N). The two collided because BiGG's display name for cobalt2 is "Co2+", which lower-cases to the same key as "CO2"; the element sets are disjoint (C,O vs Co). Restricted to components already on cobalt2 whose name carries a carbon-dioxide/carbonate token, so the 12,009 genuine Co2+ rows are untouched.	audit MAP-01 (verified); tools/bigg_metabolite_dict.json co2 / cobalt2	yes	yes	metabolite-mapping workstream	2026-09-06
CHEM-CR-01	*	component_name_regex	^[Cc]hromium	cro4	unmap		unmapped			Dietary and medium chromium is Cr(III). cro4 is chromate, CrO4, i.e. Cr(VI) -- a different oxidation state and a toxic oxyanion with dedicated reductase reactions in several GEMs. tools/bigg_metabolite_dict.json contains no Cr(III) species, so there is no correct target and the honest result is no mapping. The alias entries that produced it have been removed from tools/map_metabolite.py.	audit MAP-05 verification section A; dict scan for chromium species returns only cro4	yes	yes	metabolite-mapping workstream	2026-09-06
CHEM-B12-01	*	component_name_regex	[Vv]itamin ?B.?12|[Cc]yanocobalamin|[Cc]obalamin	cbl1	retarget	adocbl	class_proxy	adocbl|C06453|cbl2|cbl1		cbl1 is Cob(I)alamin, the transient reduced Co(I) intracellular redox state of the cofactor -- it is not a dietary or medium B12 species. Cyanocobalamin (C63H88CoN14O14P) has no in_biggr BiGG id (b12 carries no formula and no InChIKey and is absent from BiGGr). adocbl (Adenosylcobalamin, C72H100CoN18O17P, ZIHHMGTYZOSFRC-QRVZQHAISA-N) is a real dietary/coenzyme B12 form present in BiGGr and is recorded as a declared proxy for the vitamer group, not as an exact identity.	audit MAP-05(e), MAP-12 verification item 5; dict entries cbl1 / adocbl / b12	yes	yes	metabolite-mapping workstream	2026-09-06
CHEM-B12-02	*	bigg_id	b12	b12	retarget	adocbl	class_proxy	adocbl|C06453|cbl2		b12 ("Vitamin B12") carries no formula and no InChIKey and is absent from the BiGGr reactome, so it is an unusable exchange. Harmonised onto adocbl so one analyte does not occupy two ids across the resource (184 components were on b12 while 8,145 were on cbl1 for the same nutrient).	audit MAP-12 verification item 3	yes	yes	metabolite-mapping workstream	2026-09-06
CHEM-CYS-01	usda_nutrient	bigg_id	cys__L	cys__L	retier		name_table		Cystine|Cysteine	USDA nutrient 1216 "Cystine" is L-cystine, the disulfide DIMER (C6H12N2O4S2, InChIKey LEVWYRKDKASIDU-IMJSIDKUSA-N, BiGG id cysi__L). It was mapped to cys__L, L-cysteine, the MONOMER (C3H7NO2S, XUJNEKJLAYXESH-REOHCLBHSA-N) -- a different skeleton and 2x stoichiometry -- and stamped "exact". The two USDA nutrients "Cystine" and "Cysteine" additionally collide on the same exchange key, so one measured amount silently overwrote the other. The source nutrient name was destroyed at build time (the record stores the BiGG name), so which of the two produced any given row is UNRECOVERABLE from the shipped data: the row cannot be retargeted, only relabelled and flagged. Correct target for future builds is cysi__L; see tools/curation/usda_nutrient_table.tsv.	audit MAP-05(h), COV-01 verification; dict entries cys__L / cysi__L	no	no	metabolite-mapping workstream	2026-09-06
CHEM-SE-01	usda_mineral	bigg_id	slnt	slnt	retier		class_proxy	slnt		USDA "Selenium, Se" is a TOTAL ELEMENTAL selenium assay. slnt is selenite, O3Se -- one specific oxyanion. Dietary selenium is predominantly selenomethionine and selenocysteine, not the selenite ion, and selenite has dedicated reductase and sulfur-assimilation routes in many GEMs. The element measurement cannot certify an oxidation state, so this is recorded as a declared species proxy, never as an exact identity. FLUX WARNING for the bounds workstream: 6,468 food media open EX_slnt_e at lower_bound -1000 on the strength of a total-Se number, and selenite is not otherwise supplied by the injected mineral base.	audit MAP-05(a) and its verification (item C: slnt and mobd are the only flux-consequential MINMAP entries)	yes	no	metabolite-mapping workstream	2026-09-06
CHEM-MO-01	usda_mineral	bigg_id	mobd	mobd	retier		class_proxy	mobd		USDA "Molybdenum, Mo" is a total elemental assay; mobd is molybdate, the specific oxyanion. Same class of substitution as selenium: an element measurement does not certify a species. Flux-consequential because molybdate is not supplied by the injected mineral base.	audit MAP-05 verification item C	yes	no	metabolite-mapping workstream	2026-09-06
CHEM-FE-01	usda_mineral	bigg_id	fe2	fe2	retier		class_proxy	fe2|fe3		USDA "Iron, Fe" is total iron: mixed heme and non-heme, mixed oxidation state. fe2 fixes it at Fe(II), and its BiGG display name is literally "Fe2+ mitochondria" -- a compartment-tagged name used here as an extracellular exchange. Recorded as a declared oxidation-state proxy. Not flux-consequential: the injected mineral base already opens EX_fe2_e and EX_fe3_e at -1000 in all 7,424 USDA media, so the assignment changes no bound.	audit MAP-05(d) and its verification item C	no	no	metabolite-mapping workstream	2026-09-06
CHEM-P-01	usda_mineral	bigg_id	pi	pi	retier		class_proxy	pi		USDA "Phosphorus, P" is total phosphorus: phytate, phospholipid and protein-bound P as well as free orthophosphate. pi is orthophosphate alone. Recorded as a declared aggregate proxy. Not flux-consequential: EX_pi_e is already open at -1000 in every USDA medium from the injected mineral base.	audit MAP-05(c) and its verification item C	no	no	metabolite-mapping workstream	2026-09-06
CHEM-B6-01	usda_nutrient	bigg_id	pydxn	pydxn	retier		class_proxy	pydxn|pydx|pydam		USDA "Vitamin B-6" reports the TOTAL of the B6 vitamer group -- pyridoxine, pyridoxal, pyridoxamine and their 5'-phosphates. pydxn is pyridoxine alone; pydx (pyridoxal) and pydam (pyridoxamine) exist separately in the dictionary. One vitamer standing for the group is a proxy and must be labelled as one.	audit MAP-05(f); dict entries pydxn / pydx / pydam	no	no	metabolite-mapping workstream	2026-09-06
CHEM-FOL-01	usda_nutrient	bigg_id	fol	fol	retier		class_proxy	fol|5mthf|thf		USDA "Folate, total" aggregates food folates (largely polyglutamyl 5-methyltetrahydrofolate) with added folic acid. fol is the folate monoglutamate; 5mthf and thf exist separately in the dictionary. Declared aggregate proxy.	audit MAP-05(E); dict entries fol / 5mthf / thf	no	no	metabolite-mapping workstream	2026-09-06
CHEM-CHOL-01	usda_nutrient	bigg_id	chol	chol	retier		class_proxy	chol		USDA "Choline, total" aggregates free choline, phosphocholine, glycerophosphocholine, phosphatidylcholine and sphingomyelin. chol is free choline alone. Declared aggregate proxy.	audit MAP-05(g)	no	no	metabolite-mapping workstream	2026-09-06
CHEM-VITE-01	usda_nutrient	bigg_id	avite1	avite1	retier		class_proxy	avite1|avite2		USDA "Vitamin E (alpha-tocopherol)" names one tocopherol, but the assay in most records is reported as alpha-tocopherol equivalents spanning the tocopherol/tocotrienol series. Declared vitamer proxy.	USDA FoodData Central nutrient definitions; dict entries avite1 / avite2	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-181	*	component_name_regex	^MUFA 18:1	ocdcea	retier		class_proxy	ocdcea|ocdce9a|elaid|vacc|M00115|M00019		"MUFA 18:1" is a chain-length:unsaturation CLASS covering every C18:1 positional and geometric isomer. It was collapsed onto ocdcea (oleate, 9Z) and stamped exact. BiGG resolves six distinct C18:1 species, so the ambiguity is real and the collapse must be declared.	audit MAP-08 verification (the silent half); dict scan for C18:1 species	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-204	*	component_name_regex	^PUFA 20:4	arachd	retier		class_proxy	arachd		"PUFA 20:4" is a class covering all C20:4 isomers; arachd is arachidonic acid (5Z,8Z,11Z,14Z) specifically. Declared class proxy.	audit MAP-08 verification	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-182	*	component_name_regex	^PUFA 18:2 c$	lnlc	retier		class_proxy	lnlc		"PUFA 18:2 c" declares chain length and cis geometry but not double-bond position; lnlc is linoleate (9Z,12Z) specifically. NOTE: the only alternative C18:2 id in the dictionary, ocdcya, carries the SAME InChIKey as lnlc and is a duplicate, not a class-level target -- so lnlc stays and is declared a proxy. The fully specified sibling "PUFA 18:2 n-6 c,c" is unambiguous and is deliberately NOT demoted.	audit MAP-08 verification (the 18:2 correction)	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-183	*	component_name_regex	^PUFA 18:3 c$	lnlnca	retier		class_proxy	lnlnca|strdnc		"PUFA 18:3 c" declares chain length and cis geometry but not position; lnlnca is alpha-linolenate (9Z,12Z,15Z). The fully specified sibling "PUFA 18:3 n-3 c,c,c (ALA)" is unambiguous and is deliberately NOT demoted.	audit MAP-08 verification	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-161	*	component_name_regex	^MUFA 16:1	hdcea	retier		class_proxy	hdcea		"MUFA 16:1" aggregates every C16:1 isomer; hdcea is palmitoleate (9Z). The stored xref asserts the 9Z structure (InChIKey SECPZKHBENQXJG-FPLPWBNLSA-M) against a class name.	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-141	*	component_name_regex	^MUFA 14:1	ttdcea	retier		class_proxy	ttdcea		"MUFA 14:1" aggregates every C14:1 isomer; ttdcea is myristoleate (9Z).	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-201	*	component_name_regex	^MUFA 20:1	M01235	retier		class_proxy	M01235		"MUFA 20:1" aggregates every C20:1 isomer; M01235 is gondoate/gadoleate specifically.	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-171	*	component_name_regex	^MUFA 17:1	hepedecacid	retier		class_proxy	hepedecacid		"MUFA 17:1" aggregates every C17:1 isomer. FLAG: hepedecacid carries no InChIKey and no formula in tools/bigg_metabolite_dict.json AND is absent from the BiGGr reactome, so this exchange asserts a metabolite whose structure the resource cannot state. Escalated for chemistry resolution or removal.	audit MAP-08 verification (3,212 chemistry-free class targets)	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-220	*	component_name_regex	^SFA 22:0	behen	retier		class_proxy	behen		FLAG: behen carries no InChIKey and no formula in the dictionary. The chain length is unambiguous, but the resource cannot state the structure it is asserting.	audit MAP-08 verification	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-221	*	component_name_regex	^MUFA 22:1	doco13ac	retier		class_proxy	doco13ac		"MUFA 22:1" aggregates every C22:1 isomer; doco13ac is erucate (13Z).	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
CLASS-FA-241	*	component_name_regex	^MUFA 24:1	nrvnc	retier		class_proxy	nrvnc		"MUFA 24:1" aggregates every C24:1 isomer; nrvnc is nervonate (15Z).	audit MAP-08	no	no	metabolite-mapping workstream	2026-09-06
