# tools/verification_verdicts.tsv — the earlier verification pass's verdicts, checked in.
#
# Source: /data/media_verify/verdicts_final.json (file mtime 2026-07-11), copied into the repository
# so tools/stages/stamp_provenance.py is self-contained and does not silently depend on a
# path outside it. That file recorded, per medium, whether the CITED PAPER actually contains
# the formulation. Its verdicts were then overwritten by a later curation round: 9 of the 10
# media it declared "unavailable" still ship labelled provenance.verification =
# "paper-verified ..." while carrying a verification_note that says the opposite
# (finding PROV-03).
#
# This table is a CONTRADICTION ALARM, not an authority. Per the audit's verification pass,
# a record is NOT quarantined on verdict == "unavailable" — the later recuration rounds did
# real source-chasing and the recipes are largely right. What is wrong is the LABEL. The
# stage downgrades verification to "reconstructed-from-cited-references" and records why.
#
# verdict values, as written by the original pass:
#   unavailable  the cited paper does not print the formulation
#   not_found    the medium is only named in the cited paper
#   confirmed    the cited paper contains the formulation
#
# Columns: medium_id, verdict, verdict_confidence, verdict_note
medium_id	verdict	verdict_confidence	verdict_note
complexlit_PMC6373973_anaerobic_digestion_medium_with_14_6_v_v_eth	unavailable	low	Could NOT access full medium composition. The accessible article text confirms only ethanol (14.6% v/v) as the main carbon source of an anaerobic-digestion (biogas reactor) enrichment culture; salts, nitrogen source, buffer, vitamins, and trace elements are relegated to supplementary S6 Text (and reference [31]) and were not retrievable. Oxygen = anaerobic is supported by the anaerobic-digestion/b
complexlit_PMC7745072_atcc_1161_medium	not_found	high	Paper PMC7745072 (Mesoplasma florum L1) was fetched and read successfully. It only NAMES 'ATCC 1161 medium' as the culture medium and reports incubation temperature (optimum 34 C, no growth >36 C); it does NOT reproduce the medium's composition (no salts, carbon/N source, buffer, vitamins, trace elements, serum or amounts are given in the article). Therefore the medium is not_found within this sou
complexlit_PMC3946380_obgm_oral_bacterial_growth_medium_u_13c_glyc	unavailable	low	OBGM is a complex/undefined oral bacterial growth medium. This paper (PMC3946380) USES OBGM but does NOT reproduce its recipe (salts, carbon/N source, buffer, vitamins, trace elements, extracts); it cites external sources (Mitchell et al.; Veith et al.) for the formulation. Full component list therefore cannot be verified from this source and is left for manual review. VERIFIED CORRECTIONS vs curr
complexlit_PMC60676_ms_mineral_standard_minimal_medium	unavailable	medium	Paper = 'Long term adaptation... overcoming thymineless death by experimental evolution of E. coli' (PMC60676), organism E. coli. The paper does NOT give the full MS (mineral standard) formulation — it defers to cited reference 24 (Richaud et al. 1993), which I could not access. Only verifiable facts from THIS paper: carbon source D-glucose 10 mM (= 2 g/L), thymine 1 µM, and AEROBIC growth (bubble
complexlit_PMC3831637_defined_chemostat_medium_succinate_carbon_so	unavailable	medium	PMC3831637 is a modeling paper on P. denitrificans denitrification; it does NOT contain the defined medium's salts, buffer, vitamins, trace-element list, or carbon source with amounts (these are only cited from Felgate et al. 2012). The medium is carbon-LIMITED; the paper does not name succinate, so the current record's 'succinate carbon source' cannot be verified from this source. Full formulatio
growthlit_PMC2998477_pseudomonas_basal_mineral_medium_pbm	unavailable	high	PMC2998477 does NOT define the full PBM formulation; it defers the complete recipe to cited reference [89]. Only three quantities appear in this paper: glucose 0.2 g/L (1 g/L for inocula), iron 1.5 uM as ferrous ammonium sulfate, and copper 0.16 uM. Ammonium sulfate is named as the N source but with no explicit concentration (paper gives only a molar ammonium:glucose-carbon ratio of ~2.3, i.e. ~te
complexlit_PMC6921056_smm_standard_mineral_medium_ref_18_10_mm_gly	unavailable	low	PMC6921056 does NOT list the chemical composition of SMM (Synthetic/Standard Mineral Medium); the entire mineral base (salts, phosphate buffer, ammonium N-source, trace elements) is deferred to external reference [18] (Dvořák et al.), which I could not access. Therefore the full formulation cannot be verified or reconstructed from this paper without fabrication -> left for manual review (pull comp
complexlit_PMC6255981_modified_mr_1_medium_cao_et_al_2011_20_mm_so	unavailable	low	PMC6255981 does NOT reproduce the modified MR-1 medium formulation (salts, buffer, N source, vitamins, trace elements) - it defers entirely to Cao et al. 2011. Only two facts are verifiable from THIS paper: carbon source = 20 mM sodium lactate ([3-13C] for MFA), and the experiments were run aerobically (shaking flasks 200 rpm; O2-permeable biofilm reactors). S. oneidensis MR-1 is itself facultativ
complexlit_PMC3181329_carbon_limited_evans_defined_minimal_medium	confirmed	medium	The two components in the current auto-extracted record (D-glucose as carbon source at 21.9 mM; oxygen available) match everything the paper explicitly reports, so verdict = confirmed for the verifiable content. IMPORTANT INCOMPLETENESS: this is a chemically defined minimal medium (Evans defined medium) that necessarily also contains a phosphate buffer, an ammonium N source, Mg/Ca salts, and a tra
complexlit_PMC8024496_v4_mineral_medium_0_2_um_la_ce_rare_earth_el	unavailable	high	Source paper PMC8024496 (Frontiers Microbiol 2021, Methylacidiphilum sp. RTK17.1) defines the medium ONLY by reference to Dunfield et al. 2007 Nature 450:879-882; the full V4 mineral base (phosphate/ammonium/Mg/Ca salts, N source, trace metals, vitamins) is NOT printed in this paper and I could not access the Dunfield 2007 recipe, so the mineral base cannot be verified and must NOT be fabricated. 
complexlit_PMC8024496_v4_mineral_medium_12_4_mm_formic_acid	unavailable	high	Same base-recipe limitation as the parent V4 record: the V4 mineral base (phosphate/ammonium/Mg/Ca salts, N source, trace metals, vitamins) is defined only by reference to Dunfield et al. 2007 and is NOT printed in PMC8024496, so it cannot be verified and must not be fabricated. Paper-verified for this record: 12.4 mM formic acid added as the growth substrate to V4 medium; grown aerobically/microa
complexlit_PMC8024496_v4_mineral_medium_12_4_mm_methanol	unavailable	high	Same base-recipe limitation: the V4 mineral base (phosphate/ammonium/Mg/Ca salts, N source, trace metals, vitamins) is defined only by reference to Dunfield et al. 2007 and is NOT printed in PMC8024496, so it cannot be verified and must not be fabricated. Paper-verified for this record: 12.4 mM methanol as growth substrate in V4 medium; aerobic/microaerobic (2% O2 / 2% CO2 / balance N2) at ~45-50°
