# tools/licenses.tsv — per-source licence schedule for the Media/MediaDB corpus.
#
# This table is the SINGLE authority for the licence stamped onto every medium record.
# tools/stages/stamp_provenance.py reads it and emits provenance.license / license_url /
# license_source / commercial_use onto each record, keyed on the VERIFIED source identity
# resolved by tools/stages/source_identity.py.
#
# It is NOT keyed on the record id prefix or the filename. build_index.py's source_db()
# infers the source from `idv.startswith('mediadive_')` and friends, and that inference is
# already proven wrong on 5 records (std_halobacterium, std_marine_broth_2216,
# std_methanobacterium, std_nitrobacter, std_nitrosomonas) and on the 5 BMDB records it
# files under "Published (HMDB-derived)". A licence stamped off a filename is a legal
# assertion built on a string match. See audit findings PROV-05, PROV-11, COV-06.
#
# Every row carries the evidence it was read from: terms_url, terms_retrieved (ISO date),
# terms_verification (how the terms were obtained) and terms_quote (verbatim). A row without
# evidence is a guess wearing a licence's clothes.
#
# commercial_use is a 4-value enum, not a boolean, because "permission required" is a real
# third state and "unresolved" is a real fourth one. commercial_use_ok is the strict boolean
# a browser/API filter should use: true ONLY for `yes`.
#
# Columns:
#   source_id                  stable machine key, matches source_identity.py
#   source_name                human-facing name, used in NOTICE and in the record
#   publisher                  the body that holds/asserts the terms
#   upstream_role              what this source contributed
#   license_id                 SPDX id where one exists, else a descriptive slug
#   license_name               full human-readable licence name
#   license_url                canonical licence deed URL, or "" when there is no licence
#   commercial_use             yes | no | permission_required | unresolved
#   commercial_use_ok          true | false  (strict filter: true only when commercial_use=yes)
#   attribution_required       true | false
#   license_indication_required true | false  (CC BY 4.0 s.3(a)(1)(C): the licence itself must be indicated)
#   terms_url                  where the terms were read from
#   terms_retrieved            ISO date the terms were retrieved for this table
#   terms_verification         first_party | first_party_via_web_archive | project_assertion
#   terms_quote                verbatim sentence(s) the row rests on
#   notes                      anything a redistributor must know
source_id	source_name	publisher	upstream_role	license_id	license_name	license_url	commercial_use	commercial_use_ok	attribution_required	license_indication_required	terms_url	terms_retrieved	terms_verification	terms_quote	notes
usda_fdc	USDA FoodData Central	U.S. Department of Agriculture, Agricultural Research Service	Food composition records used as food-derived media	CC0-1.0	Creative Commons CC0 1.0 Universal Public Domain Dedication	https://creativecommons.org/publicdomain/zero/1.0/	yes	true	false	false	https://fdc.nal.usda.gov/api-guide	2026-09-06	first_party	USDA FoodData Central data are in the public domain and they are not copyrighted. They are published under CC0 1.0 Universal (CC0 1.0). No permission is needed for their use, but we request that users list FoodData Central as the source of the data.	Attribution is requested, not required. FDC food-detail URLs return HTTP 404 while rendering the correct page (server-side soft-404); the link is live for a human and broken for a link-checker. See stamp_provenance.py url_status.
dsmz_mediadive	DSMZ MediaDive	Leibniz-Institut DSMZ-Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH	Cultivation media recipes, aggregated across the DSMZ, JCM and CCAP collections	CC-BY-4.0	Creative Commons Attribution 4.0 International	https://creativecommons.org/licenses/by/4.0/	yes	true	true	true	https://mediadive.dsmz.de/imprint	2026-09-06	first_party	MediaDive (c) 2022 by DSMZ is licensed under CC BY 4.0	CC BY 4.0 s.3(a)(1)(C) requires INDICATING the licence, which this repository did not do before this schedule existed. MediaDive aggregates other collections: its imprint states "JCM media were kindly provided by the JCM" — 1143 JCM and 105 CCAP media are attributed to the wrong collection in the shipped citations (finding PROV-06).
foodb	FooDB	The Metabolomics Innovation Centre (TMIC) / University of Alberta	Food composition records used as food-derived media	CC-BY-NC-4.0	Creative Commons Attribution-NonCommercial 4.0 International	https://creativecommons.org/licenses/by-nc/4.0/	permission_required	false	true	true	https://foodb.ca/about	2026-09-06	first_party	FooDB is offered to the public as a freely available resource. Use and re-distribution of the data, in whole or in part, for commercial purposes requires explicit permission of the authors and explicit acknowledgment of the source material (FooDB) and the original publication. This work is licensed under a Creative Commons Attribution-NonCommercial 4.0 International License.	Commercial licence enquiries go to TMIC per foodb.ca/about. These records CANNOT be redistributed under CC BY 4.0.
mediadb_isb	MediaDB (ISB defined media)	Institute for Systems Biology (Price Lab), Seattle WA	Chemically defined media with quantitative concentrations	all-rights-reserved	No licence granted — All Rights Reserved		no	false	true	false	https://mediadb.systemsbiology.net/defined_media/	2026-09-06	first_party	(c) 2014, Institute for Systems Biology, All Rights Reserved	NO reuse grant of any kind is stated upstream. This is the single largest contributor of quantitative data in the corpus (8397 of 14055 non-null concentration_mM values, 59.7%). Redistribution permission has NOT been obtained; contact mediadb@systemsbiology.org. Do not relicense. Do not delete the records either — deleting them removes every mdb_* deep link.
hmdb	Human Metabolome Database (HMDB 5.0)	The Metabolomics Innovation Centre (TMIC) / University of Alberta	Normal human biofluid metabolite concentrations used as biospecimen media	CC-BY-NC-4.0	Creative Commons Attribution-NonCommercial 4.0 International	https://creativecommons.org/licenses/by-nc/4.0/	permission_required	false	true	true	https://web.archive.org/web/20260102200014/https://hmdb.ca/about	2026-09-06	first_party_via_web_archive	All data and metadata in the HMDB are released under the Creative Commons (CC) Attribution-NonCommercial (NC) 4.0 International Licensing condition.	hmdb.ca is Cloudflare-gated and returns HTTP 403 to curl, WebFetch and headless Chromium alike (re-tested 2026-09-06, three URL variants). The quote is from the first-party page as captured by the Internet Archive on 2026-01-02. Re-verify first-party before any commercial reliance.
bmdb	Bovine Metabolome Database (BMDB)	The Metabolomics Innovation Centre (TMIC) / University of Alberta	Normal bovine biofluid metabolite concentrations used as biospecimen media	custom-permission-required	Custom terms — commercial use by explicit permission		permission_required	false	true	false	https://bovinedb.ca/about	2026-09-06	first_party	BMDB is offered to the public as a freely available resource. Use and re-distribution of the data, in whole or in part, for commercial purposes requires explicit permission of the authors and explicit acknowledgment of the source material (BMDB) and the original publication.	The BMDB about page states no Creative Commons licence at all (checked verbatim 2026-09-06) — only the permission clause. Do not label these CC BY-NC; the correct label is custom/permission-required. These 5 bovine records are currently mis-filed as "Published (HMDB-derived)" by build_index.py:8.
hmdb_via_publication	HMDB tables republished in an open-access paper	The Metabolomics Innovation Centre (HMDB) / PLOS (paper)	Biofluid media built from HMDB-derived supplementary tables of an open-access paper	CC-BY-NC-4.0	Creative Commons Attribution-NonCommercial 4.0 International (conservative: upstream HMDB terms)	https://creativecommons.org/licenses/by-nc/4.0/	permission_required	false	true	true	https://web.archive.org/web/20260102200014/https://hmdb.ca/about	2026-09-06	first_party_via_web_archive	All data and metadata in the HMDB are released under the Creative Commons (CC) Attribution-NonCommercial (NC) 4.0 International Licensing condition.	3 records (biospecimen_feces/serum/urine). Their immediate source is Ardalani et al., PLOS Pathogens 2025 (doi 10.1371/journal.ppat.1013775), an open-access CC BY paper — but their own provenance.notes says "Body-site medium from HMDB-derived tables", and republication in a CC BY paper does not relicense the underlying HMDB values. Stamped conservatively as NC and flagged license_review_required. Resolve before any commercial claim.
growthdb_literature	Primary literature via GrowthDB	This project (compilation) / the cited primary publications	Media formulations extracted from primary papers and curated through GrowthDB	CC-BY-4.0	Creative Commons Attribution 4.0 International (project compilation)	https://creativecommons.org/licenses/by/4.0/	yes	true	true	true		2026-09-06	project_assertion	This project asserts CC BY 4.0 over its own compilation, mapping and encoding of these records. The underlying formulations are facts stated in the cited publications and are cited per record; the publications themselves are not redistributed.	1369 records (source_id growthdb_literature; id prefixes growthlit_ + complexlit_). The licence covers the COMPILATION, not the cited papers. Users must still cite the primary publication recorded in provenance.citation. Verbatim tables or figures from a non-open-access paper are not redistributed by this resource.
primary_literature	Primary literature (GEM papers)	This project (compilation) / the cited primary publications	Media formulations mined from genome-scale-model papers	CC-BY-4.0	Creative Commons Attribution 4.0 International (project compilation)	https://creativecommons.org/licenses/by/4.0/	yes	true	true	true		2026-09-06	project_assertion	This project asserts CC BY 4.0 over its own compilation, mapping and encoding of these records. The underlying formulations are facts stated in the cited publications and are cited per record; the publications themselves are not redistributed.	88 records (87 lit_ + cdm_lactobacillaceae). Same compilation/facts distinction as growthdb_literature.
standard_classic	Classic and standard formulations (project-curated)	This project (compilation) / the cited canonical references	Canonical laboratory media (LB, M9, MOPS, BHI, TSB, ...) encoded to BiGG exchanges	CC-BY-4.0	Creative Commons Attribution 4.0 International (project compilation)	https://creativecommons.org/licenses/by/4.0/	yes	true	true	true		2026-09-06	project_assertion	This project asserts CC BY 4.0 over its own compilation, mapping and encoding of these records. The formulations are long-published canonical recipes cited per record.	297 records. 5 of them (std_halobacterium, std_marine_broth_2216, std_methanobacterium, std_nitrobacter, std_nitrosomonas) carry a mediadive.dsmz.de URL, so their composition MAY have been taken from MediaDive (CC BY 4.0, attribution + licence indication required). They are stamped license_review_required=true rather than silently claimed as project-compiled.
